freq_Hz,sum_dB,woofer_dB,mid_dB,tweeter_dB,baffle_step_dB,wg_loading_dB
45.88,81.1900,81.0861,42.6931,-75.5622,-5.7731,0.0000
46.04,81.1993,81.0941,42.8154,-75.4405,-5.7715,0.0000
46.20,81.2086,81.1020,42.9377,-75.3188,-5.7698,0.0000
46.36,81.2178,81.1097,43.0600,-75.1971,-5.7681,0.0000
46.53,81.2269,81.1174,43.1823,-75.0753,-5.7664,0.0000
46.69,81.2359,81.1250,43.3046,-74.9536,-5.7647,0.0000
46.85,81.2449,81.1325,43.4269,-74.8319,-5.7630,0.0000
47.02,81.2538,81.1399,43.5492,-74.7102,-5.7613,0.0000
47.18,81.2626,81.1473,43.6714,-74.5885,-5.7596,0.0000
47.35,81.2714,81.1545,43.7937,-74.4668,-5.7578,0.0000
47.51,81.2801,81.1616,43.9160,-74.3451,-5.7561,0.0000
47.68,81.2887,81.1687,44.0382,-74.2233,-5.7543,0.0000
47.85,81.2973,81.1757,44.1605,-74.1016,-5.7525,0.0000
48.02,81.3058,81.1825,44.2827,-73.9799,-5.7507,0.0000
48.19,81.3142,81.1893,44.4050,-73.8582,-5.7489,0.0000
48.35,81.3226,81.1961,44.5272,-73.7365,-5.7471,0.0000
48.52,81.3309,81.2027,44.6494,-73.6148,-5.7453,0.0000
48.69,81.3392,81.2092,44.7717,-73.4930,-5.7435,0.0000
48.87,81.3473,81.2157,44.8939,-73.3713,-5.7416,0.0000
49.04,81.3555,81.2221,45.0161,-73.2496,-5.7398,0.0000
49.21,81.3636,81.2284,45.1383,-73.1279,-5.7379,0.0000
49.38,81.3716,81.2346,45.2605,-73.0062,-5.7360,0.0000
49.55,81.3796,81.2407,45.3827,-72.8845,-5.7341,0.0000
49.73,81.3875,81.2468,45.5048,-72.7627,-5.7322,0.0000
49.90,81.3953,81.2528,45.6270,-72.6410,-5.7303,0.0000
50.08,81.4031,81.2587,45.7492,-72.5193,-5.7284,0.0000
50.25,81.4109,81.2645,45.8713,-72.3976,-5.7264,0.0000
50.43,81.4186,81.2702,45.9935,-72.2759,-5.7245,0.0000
50.61,81.4262,81.2759,46.1156,-72.1542,-5.7225,0.0000
50.79,81.4339,81.2815,46.2377,-72.0324,-5.7205,0.0000
50.96,81.4414,81.2870,46.3598,-71.9107,-5.7186,0.0000
51.14,81.4489,81.2925,46.4820,-71.7890,-5.7166,0.0000
51.32,81.4564,81.2978,46.6041,-71.6673,-5.7145,0.0000
51.50,81.4638,81.3031,46.7261,-71.5456,-5.7125,0.0000
51.68,81.4712,81.3084,46.8482,-71.4239,-5.7105,0.0000
51.86,81.4785,81.3135,46.9703,-71.3022,-5.7084,0.0000
52.05,81.4858,81.3186,47.0923,-71.1804,-5.7064,0.0000
52.23,81.4931,81.3236,47.2144,-71.0587,-5.7043,0.0000
52.41,81.5003,81.3285,47.3364,-70.9370,-5.7022,0.0000
52.60,81.5074,81.3334,47.4584,-70.8153,-5.7001,0.0000
52.78,81.5146,81.3382,47.5804,-70.6936,-5.6980,0.0000
52.97,81.5217,81.3429,47.7024,-70.5719,-5.6958,0.0000
53.15,81.5287,81.3475,47.8244,-70.4501,-5.6937,0.0000
53.34,81.5357,81.3521,47.9464,-70.3284,-5.6915,0.0000
53.53,81.5427,81.3566,48.0683,-70.2067,-5.6894,0.0000
53.71,81.5497,81.3611,48.1903,-70.0850,-5.6872,0.0000
53.90,81.5566,81.3655,48.3122,-69.9633,-5.6850,0.0000
54.09,81.5635,81.3698,48.4341,-69.8416,-5.6828,0.0000
54.28,81.5703,81.3740,48.5560,-69.7198,-5.6806,0.0000
54.47,81.5772,81.3782,48.6779,-69.5981,-5.6783,0.0000
54.66,81.5839,81.3823,48.7998,-69.4764,-5.6761,0.0000
54.85,81.5907,81.3863,48.9216,-69.3547,-5.6738,0.0000
55.05,81.5974,81.3903,49.0435,-69.2330,-5.6715,0.0000
55.24,81.6041,81.3942,49.1653,-69.1113,-5.6692,0.0000
55.43,81.6108,81.3980,49.2871,-68.9895,-5.6669,0.0000
55.63,81.6175,81.4018,49.4089,-68.8678,-5.6646,0.0000
55.82,81.6241,81.4055,49.5307,-68.7461,-5.6623,0.0000
56.02,81.6307,81.4092,49.6524,-68.6244,-5.6599,0.0000
56.22,81.6373,81.4127,49.7742,-68.5027,-5.6576,0.0000
56.41,81.6438,81.4163,49.8959,-68.3810,-5.6552,0.0000
56.61,81.6503,81.4197,50.0176,-68.2593,-5.6528,0.0000
56.81,81.6568,81.4231,50.1393,-68.1375,-5.6504,0.0000
57.01,81.6633,81.4264,50.2609,-68.0158,-5.6480,0.0000
57.21,81.6698,81.4297,50.3826,-67.8941,-5.6456,0.0000
57.41,81.6762,81.4329,50.5042,-67.7724,-5.6431,0.0000
57.61,81.6827,81.4360,50.6258,-67.6507,-5.6406,0.0000
57.81,81.6891,81.4391,50.7474,-67.5290,-5.6382,0.0000
58.02,81.6955,81.4421,50.8690,-67.4072,-5.6357,0.0000
58.22,81.7018,81.4450,50.9905,-67.2855,-5.6332,0.0000
58.42,81.7082,81.4479,51.1120,-67.1638,-5.6306,0.0000
58.63,81.7145,81.4507,51.2335,-67.0421,-5.6281,0.0000
58.84,81.7209,81.4535,51.3550,-66.9204,-5.6255,0.0000
59.04,81.7272,81.4561,51.4764,-66.7987,-5.6230,0.0000
59.25,81.7335,81.4588,51.5979,-66.6770,-5.6204,0.0000
59.46,81.7398,81.4613,51.7193,-66.5552,-5.6178,0.0000
59.67,81.7460,81.4638,51.8407,-66.4335,-5.6152,0.0000
59.88,81.7523,81.4663,51.9620,-66.3118,-5.6125,0.0000
60.09,81.7586,81.4686,52.0833,-66.1901,-5.6099,0.0000
60.30,81.7648,81.4710,52.2046,-66.0684,-5.6072,0.0000
60.51,81.7710,81.4732,52.3259,-65.9467,-5.6046,0.0000
60.72,81.7773,81.4754,52.4472,-65.8249,-5.6019,0.0000
60.93,81.7835,81.4775,52.5684,-65.7032,-5.5991,0.0000
61.15,81.7897,81.4796,52.6896,-65.5815,-5.5964,0.0000
61.36,81.7959,81.4816,52.8107,-65.4598,-5.5937,0.0000
61.58,81.8021,81.4835,52.9319,-65.3381,-5.5909,0.0000
61.79,81.8083,81.4854,53.0530,-65.2164,-5.5881,0.0000
62.01,81.8145,81.4872,53.1741,-65.0947,-5.5854,0.0000
62.23,81.8207,81.4889,53.2951,-64.9729,-5.5825,0.0000
62.45,81.8269,81.4906,53.4161,-64.8512,-5.5797,0.0000
62.66,81.8331,81.4922,53.5371,-64.7295,-5.5769,0.0000
62.88,81.8392,81.4938,53.6581,-64.6078,-5.5740,0.0000
63.11,81.8454,81.4953,53.7790,-64.4861,-5.5711,0.0000
63.33,81.8516,81.4967,53.8999,-64.3644,-5.5683,0.0000
63.55,81.8578,81.4981,54.0207,-64.2426,-5.5653,0.0000
63.77,81.8640,81.4994,54.1415,-64.1209,-5.5624,0.0000
64.00,81.8701,81.5006,54.2623,-63.9992,-5.5595,0.0000
64.22,81.8763,81.5018,54.3830,-63.8775,-5.5565,0.0000
64.45,81.8825,81.5029,54.5038,-63.7558,-5.5535,0.0000
64.67,81.8887,81.5039,54.6244,-63.6341,-5.5505,0.0000
64.90,81.8949,81.5049,54.7451,-63.5124,-5.5475,0.0000
65.13,81.9011,81.5058,54.8657,-63.3906,-5.5445,0.0000
65.36,81.9073,81.5067,54.9862,-63.2689,-5.5415,0.0000
65.58,81.9135,81.5074,55.1067,-63.1472,-5.5384,0.0000
65.82,81.9197,81.5081,55.2272,-63.0255,-5.5353,0.0000
66.05,81.9259,81.5088,55.3476,-62.9038,-5.5322,0.0000
66.28,81.9321,81.5093,55.4680,-62.7821,-5.5291,0.0000
66.51,81.9384,81.5099,55.5884,-62.6603,-5.5260,0.0000
66.74,81.9446,81.5103,55.7087,-62.5386,-5.5228,0.0000
66.98,81.9509,81.5107,55.8290,-62.4169,-5.5196,0.0000
67.21,81.9571,81.5110,55.9492,-62.2952,-5.5165,0.0000
67.45,81.9634,81.5112,56.0693,-62.1735,-5.5132,0.0000
67.69,81.9697,81.5113,56.1895,-62.0518,-5.5100,0.0000
67.92,81.9760,81.5114,56.3096,-61.9301,-5.5068,0.0000
68.16,81.9823,81.5114,56.4296,-61.8083,-5.5035,0.0000
68.40,81.9886,81.5114,56.5496,-61.6866,-5.5002,0.0000
68.64,81.9950,81.5113,56.6695,-61.5649,-5.4969,0.0000
68.88,82.0013,81.5111,56.7894,-61.4432,-5.4936,0.0000
69.12,82.0077,81.5108,56.9092,-61.3215,-5.4903,0.0000
69.37,82.0141,81.5105,57.0290,-61.1998,-5.4869,0.0000
69.61,82.0205,81.5100,57.1487,-61.0781,-5.4835,0.0000
69.85,82.0269,81.5095,57.2684,-60.9563,-5.4802,0.0000
70.10,82.0333,81.5090,57.3880,-60.8346,-5.4767,0.0000
70.34,82.0397,81.5083,57.5076,-60.7129,-5.4733,0.0000
70.59,82.0462,81.5076,57.6271,-60.5912,-5.4699,0.0000
70.84,82.0527,81.5068,57.7466,-60.4695,-5.4664,0.0000
71.09,82.0592,81.5059,57.8660,-60.3478,-5.4629,0.0000
71.34,82.0657,81.5050,57.9853,-60.2261,-5.4594,0.0000
71.59,82.0722,81.5040,58.1046,-60.1043,-5.4559,0.0000
71.84,82.0788,81.5029,58.2238,-59.9826,-5.4523,0.0000
72.09,82.0854,81.5017,58.3430,-59.8609,-5.4487,0.0000
72.34,82.0920,81.5004,58.4621,-59.7392,-5.4452,0.0000
72.60,82.0986,81.4990,58.5811,-59.6175,-5.4415,0.0000
72.85,82.1053,81.4976,58.7001,-59.4958,-5.4379,0.0000
73.11,82.1119,81.4961,58.8190,-59.3741,-5.4343,0.0000
73.37,82.1186,81.4945,58.9378,-59.2523,-5.4306,0.0000
73.62,82.1253,81.4928,59.0566,-59.1306,-5.4269,0.0000
73.88,82.1321,81.4910,59.1753,-59.0089,-5.4232,0.0000
74.14,82.1389,81.4892,59.2939,-58.8872,-5.4195,0.0000
74.40,82.1457,81.4872,59.4125,-58.7655,-5.4157,0.0000
74.66,82.1525,81.4852,59.5310,-58.6438,-5.4120,0.0000
74.92,82.1593,81.4831,59.6494,-58.5221,-5.4082,0.0000
75.19,82.1662,81.4809,59.7677,-58.4003,-5.4044,0.0000
75.45,82.1731,81.4786,59.8860,-58.2786,-5.4005,0.0000
75.72,82.1801,81.4762,60.0042,-58.1569,-5.3967,0.0000
75.98,82.1870,81.4737,60.1223,-58.0352,-5.3928,0.0000
76.25,82.1940,81.4711,60.2404,-57.9135,-5.3889,0.0000
76.52,82.2010,81.4684,60.3583,-57.7918,-5.3850,0.0000
