freq_Hz,on_axis_dB,listening_window_dB,early_reflections_dB,sound_power_dB,DI_dB,PIR_dB
4165.501,5.9996,5.8802,nan,nan,nan,nan
4204.122,6.0003,5.8618,nan,nan,nan,nan
4243.100,6.0010,5.8432,nan,nan,nan,nan
4282.440,6.0018,5.8242,nan,nan,nan,nan
4322.145,6.0024,5.8050,nan,nan,nan,nan
4362.218,6.0031,5.7854,nan,nan,nan,nan
4402.662,6.0037,5.7655,nan,nan,nan,nan
4443.482,6.0043,5.7453,nan,nan,nan,nan
4484.679,6.0049,5.7248,nan,nan,nan,nan
4526.259,6.0055,5.7039,nan,nan,nan,nan
4568.224,6.0060,5.6827,nan,nan,nan,nan
4610.579,6.0066,5.6612,nan,nan,nan,nan
4653.326,6.0071,5.6394,nan,nan,nan,nan
4696.469,6.0076,5.6173,nan,nan,nan,nan
4740.013,6.0080,5.5949,nan,nan,nan,nan
4783.960,6.0085,5.5721,nan,nan,nan,nan
4828.314,6.0089,5.5490,nan,nan,nan,nan
4873.080,6.0093,5.5256,nan,nan,nan,nan
4918.261,6.0098,5.5018,nan,nan,nan,nan
4963.861,6.0101,5.4777,nan,nan,nan,nan
5009.883,6.0105,5.4533,nan,nan,nan,nan
5056.332,6.0109,5.4286,nan,nan,nan,nan
5103.212,6.0112,5.4036,nan,nan,nan,nan
5150.527,6.0116,5.3782,nan,nan,nan,nan
5198.280,6.0119,5.3525,nan,nan,nan,nan
5246.476,6.0122,5.3265,nan,nan,nan,nan
5295.119,6.0125,5.3002,nan,nan,nan,nan
5344.212,6.0128,5.2736,nan,nan,nan,nan
5393.761,6.0131,5.2466,nan,nan,nan,nan
5443.770,6.0134,5.2194,nan,nan,nan,nan
5494.242,6.0136,5.1918,nan,nan,nan,nan
5545.182,6.0139,5.1639,nan,nan,nan,nan
5596.594,6.0141,5.1357,nan,nan,nan,nan
5648.483,6.0144,5.1072,nan,nan,nan,nan
5700.853,6.0146,5.0784,nan,nan,nan,nan
5753.708,6.0148,5.0493,nan,nan,nan,nan
5807.054,6.0150,5.0199,nan,nan,nan,nan
5860.894,6.0152,4.9902,nan,nan,nan,nan
