freq_Hz,anechoic_dB,inroom_dB,level_corr_dB,post_dsp_dB,room_gain_dB,room_hf_abs_dB,room_tf_dB,harman_target_dB,dsp_correction_dB,dsp_correction_smoothed_dB,woofer_dB,mid_dB,tweeter_dB
32.09,-7.6668,1.3332,1.3332,3.1845,9.0000,-0.0000,9.0000,3.1732,1.8400,1.8513,-7.6691,-79.3677,-182.0534
32.21,-7.6383,1.3617,1.3617,3.1823,9.0000,-0.0000,9.0000,3.1711,1.8093,1.8206,-7.6406,-79.1557,-181.9317
32.32,-7.6099,1.3901,1.3901,3.1801,9.0000,-0.0000,9.0000,3.1690,1.7789,1.7901,-7.6123,-78.9435,-181.8099
32.43,-7.5819,1.4181,1.4181,3.1780,9.0000,-0.0000,9.0000,3.1669,1.7488,1.7598,-7.5843,-78.7309,-181.6882
32.55,-7.5541,1.4459,1.4459,3.1758,9.0000,-0.0000,9.0000,3.1648,1.7188,1.7299,-7.5565,-78.5179,-181.5665
32.66,-7.5265,1.4735,1.4735,3.1736,9.0000,-0.0000,9.0000,3.1626,1.6892,1.7001,-7.5291,-78.3047,-181.4448
32.78,-7.4992,1.5008,1.5008,3.1714,9.0000,-0.0000,9.0000,3.1605,1.6597,1.6706,-7.5018,-78.0911,-181.3231
32.89,-7.4722,1.5278,1.5278,3.1691,9.0000,-0.0000,9.0000,3.1583,1.6305,1.6413,-7.4748,-77.8772,-181.2014
33.01,-7.4454,1.5546,1.5546,3.1669,9.0000,-0.0000,9.0000,3.1562,1.6016,1.6123,-7.4481,-77.6630,-181.0796
33.12,-7.4189,1.5811,1.5811,3.1646,9.0000,-0.0000,9.0000,3.1540,1.5728,1.5835,-7.4216,-77.4485,-180.9579
33.24,-7.3926,1.6074,1.6074,3.1624,9.0000,-0.0000,9.0000,3.1518,1.5444,1.5550,-7.3954,-77.2336,-180.8362
33.36,-7.3665,1.6335,1.6335,3.1601,9.0000,-0.0000,9.0000,3.1496,1.5161,1.5266,-7.3694,-77.0184,-180.7145
33.47,-7.3407,1.6593,1.6593,3.1578,9.0000,-0.0000,9.0000,3.1474,1.4881,1.4985,-7.3436,-76.8029,-180.5928
33.59,-7.3151,1.6849,1.6849,3.1555,9.0000,-0.0000,9.0000,3.1451,1.4603,1.4707,-7.3181,-76.5870,-180.4711
33.71,-7.2898,1.7102,1.7102,3.1532,9.0000,-0.0000,9.0000,3.1429,1.4327,1.4430,-7.2928,-76.4109,-180.3493
33.83,-7.2647,1.7353,1.7353,3.1509,9.0000,-0.0000,9.0000,3.1407,1.4054,1.4156,-7.2678,-76.2646,-180.2276
33.94,-7.2399,1.7601,1.7601,3.1485,9.0000,-0.0000,9.0000,3.1384,1.3783,1.3884,-7.2430,-76.1182,-180.1059
34.06,-7.2153,1.7847,1.7847,3.1462,9.0000,-0.0000,9.0000,3.1361,1.3514,1.3615,-7.2185,-75.9717,-179.9842
34.18,-7.1909,1.8091,1.8091,3.1438,9.0000,-0.0000,9.0000,3.1338,1.3248,1.3347,-7.1942,-75.8251,-179.8625
34.30,-7.1668,1.8332,1.8332,3.1414,9.0000,-0.0000,9.0000,3.1315,1.2983,1.3082,-7.1701,-75.6784,-179.7408
34.42,-7.1429,1.8571,1.8571,3.1390,9.0000,-0.0000,9.0000,3.1292,1.2721,1.2819,-7.1462,-75.5317,-179.6190
34.54,-7.1192,1.8808,1.8808,3.1366,9.0000,-0.0000,9.0000,3.1269,1.2461,1.2558,-7.1226,-75.3848,-179.4973
34.67,-7.0958,1.9042,1.9042,3.1342,9.0000,-0.0000,9.0000,3.1245,1.2203,1.2299,-7.0992,-75.2379,-179.3756
34.79,-7.0726,1.9274,1.9274,3.1317,9.0000,-0.0000,9.0000,3.1222,1.1947,1.2043,-7.0760,-75.0909,-179.2539
34.91,-7.0496,1.9504,1.9504,3.1293,9.0000,-0.0000,9.0000,3.1198,1.1694,1.1788,-7.0531,-74.9437,-179.1322
35.03,-7.0268,1.9732,1.9732,3.1268,9.0000,-0.0000,9.0000,3.1174,1.1442,1.1536,-7.0304,-74.7965,-179.0105
35.15,-7.0042,1.9958,1.9958,3.1243,9.0000,-0.0000,9.0000,3.1150,1.1193,1.1286,-7.0079,-74.6492,-178.8887
35.28,-6.9819,2.0181,2.0181,3.1218,9.0000,-0.0000,9.0000,3.1126,1.0945,1.1037,-6.9856,-74.5018,-178.7670
35.40,-6.9598,2.0402,2.0402,3.1193,9.0000,-0.0000,9.0000,3.1102,1.0700,1.0791,-6.9635,-74.3543,-178.6453
35.53,-6.9379,2.0621,2.0621,3.1168,9.0000,-0.0000,9.0000,3.1078,1.0457,1.0547,-6.9416,-74.2067,-178.5236
35.65,-6.9162,2.0838,2.0838,3.1142,9.0000,-0.0000,9.0000,3.1053,1.0215,1.0304,-6.9200,-74.0571,-178.4019
35.78,-6.8947,2.1053,2.1053,3.1117,9.0000,-0.0000,9.0000,3.1029,0.9976,1.0064,-6.8986,-73.8869,-178.2802
35.90,-6.8734,2.1266,2.1266,3.1092,9.0000,-0.0000,9.0000,3.1004,0.9738,0.9826,-6.8774,-73.7165,-178.1585
36.03,-6.8523,2.1477,2.1477,3.1066,9.0000,-0.0000,9.0000,3.0979,0.9502,0.9589,-6.8564,-73.5460,-178.0367
36.15,-6.8315,2.1685,2.1685,3.1040,9.0000,-0.0000,9.0000,3.0954,0.9269,0.9355,-6.8356,-73.3753,-177.9150
36.28,-6.8108,2.1892,2.1892,3.1014,9.0000,-0.0000,9.0000,3.0929,0.9037,0.9122,-6.8150,-73.2044,-177.7933
36.41,-6.7904,2.2096,2.2096,3.0988,9.0000,-0.0000,9.0000,3.0904,0.8807,0.8892,-6.7946,-73.0333,-177.6716
36.54,-6.7701,2.2299,2.2299,3.0962,9.0000,-0.0000,9.0000,3.0878,0.8579,0.8663,-6.7744,-72.8621,-177.5499
36.66,-6.7500,2.2500,2.2500,3.0936,9.0000,-0.0000,9.0000,3.0853,0.8353,0.8436,-6.7544,-72.6906,-177.4282
36.79,-6.7302,2.2698,2.2698,3.0909,9.0000,-0.0000,9.0000,3.0827,0.8129,0.8211,-6.7346,-72.5190,-177.3064
36.92,-6.7105,2.2895,2.2895,3.0883,9.0000,-0.0000,9.0000,3.0801,0.7906,0.7987,-6.7150,-72.3473,-177.1847
37.05,-6.6910,2.3090,2.3090,3.0856,9.0000,-0.0000,9.0000,3.0775,0.7685,0.7766,-6.6956,-72.1753,-177.0630
37.18,-6.6717,2.3283,2.3283,3.0829,9.0000,-0.0000,9.0000,3.0749,0.7466,0.7546,-6.6764,-72.0032,-176.9413
37.31,-6.6526,2.3474,2.3474,3.0802,9.0000,-0.0000,9.0000,3.0723,0.7249,0.7328,-6.6574,-71.8309,-176.8196
37.44,-6.6337,2.3663,2.3663,3.0775,9.0000,-0.0000,9.0000,3.0696,0.7034,0.7112,-6.6386,-71.6584,-176.6979
37.57,-6.6150,2.3850,2.3850,3.0747,9.0000,-0.0000,9.0000,3.0670,0.6820,0.6898,-6.6200,-71.4857,-176.5761
37.71,-6.5965,2.4035,2.4035,3.0720,9.0000,-0.0000,9.0000,3.0643,0.6608,0.6685,-6.6015,-71.3128,-176.4544
37.84,-6.5781,2.4219,2.4219,3.0692,9.0000,-0.0000,9.0000,3.0616,0.6398,0.6474,-6.5833,-71.1419,-176.3327
37.97,-6.5600,2.4400,2.4400,3.0665,9.0000,-0.0000,9.0000,3.0590,0.6189,0.6264,-6.5652,-70.9718,-176.2110
38.10,-6.5420,2.4580,2.4580,3.0637,9.0000,-0.0000,9.0000,3.0562,0.5982,0.6056,-6.5473,-70.8015,-176.0893
38.24,-6.5242,2.4758,2.4758,3.0609,9.0000,-0.0000,9.0000,3.0535,0.5777,0.5850,-6.5296,-70.6311,-175.9676
