freq_Hz,mk2_sum_dB,mk3_sum_dB,mk2_woof_dB,mk3_mid_dB,mk3_tweeter_dB,baffle_step_dB,wg_loading_mk2_dB,wg_loading_mk3_dB
27.90,75.7966,75.7966,75.7706,25.3215,-76.2393,-5.9263,0.1842,0.4708
28.00,75.8373,75.8373,75.8110,25.4437,-76.1171,-5.9256,0.1843,0.4713
28.09,75.8778,75.8778,75.8513,25.5659,-75.9949,-5.9250,0.1845,0.4718
28.19,75.9182,75.9182,75.8914,25.6882,-75.8727,-5.9243,0.1847,0.4723
28.29,75.9585,75.9585,75.9314,25.8104,-75.7505,-5.9237,0.1849,0.4728
28.39,75.9986,75.9986,75.9713,25.9326,-75.6283,-5.9230,0.1851,0.4733
28.49,76.0385,76.0385,76.0110,26.0548,-75.5061,-5.9223,0.1853,0.4738
28.59,76.0783,76.0783,76.0505,26.1771,-75.3839,-5.9216,0.1855,0.4742
28.69,76.1180,76.1180,76.0899,26.2993,-75.2617,-5.9210,0.1857,0.4747
28.79,76.1575,76.1575,76.1292,26.4216,-75.1395,-5.9203,0.1859,0.4752
28.89,76.1969,76.1969,76.1683,26.5438,-75.0172,-5.9196,0.1861,0.4757
28.99,76.2362,76.2362,76.2072,26.6660,-74.8950,-5.9189,0.1863,0.4762
29.10,76.2752,76.2752,76.2461,26.7883,-74.7728,-5.9182,0.1865,0.4767
29.20,76.3142,76.3142,76.2847,26.9105,-74.6506,-5.9175,0.1867,0.4772
29.30,76.3530,76.3530,76.3232,27.0328,-74.5284,-5.9168,0.1869,0.4777
29.40,76.3916,76.3916,76.3616,27.1550,-74.4062,-5.9161,0.1871,0.4782
29.51,76.4301,76.4301,76.3998,27.2773,-74.2840,-5.9153,0.1873,0.4787
29.61,76.4685,76.4685,76.4379,27.3996,-74.1618,-5.9146,0.1875,0.4792
29.71,76.5067,76.5067,76.4758,27.5218,-74.0396,-5.9139,0.1876,0.4796
29.82,76.5447,76.5447,76.5135,27.6441,-73.9174,-5.9131,0.1878,0.4801
29.92,76.5827,76.5827,76.5511,27.7663,-73.7952,-5.9124,0.1880,0.4806
30.03,76.6204,76.6204,76.5886,27.8886,-73.6729,-5.9117,0.1882,0.4811
30.13,76.6580,76.6580,76.6259,28.0109,-73.5507,-5.9109,0.1884,0.4816
30.24,76.6955,76.6955,76.6630,28.1332,-73.4285,-5.9102,0.1886,0.4821
30.34,76.7328,76.7328,76.7000,28.2554,-73.3063,-5.9094,0.1888,0.4826
30.45,76.7699,76.7699,76.7368,28.3777,-73.1841,-5.9086,0.1890,0.4831
30.56,76.8069,76.8069,76.7735,28.5000,-73.0619,-5.9079,0.1892,0.4836
30.67,76.8438,76.8438,76.8100,28.6223,-72.9397,-5.9071,0.1894,0.4841
30.77,76.8805,76.8805,76.8464,28.7446,-72.8175,-5.9063,0.1896,0.4846
30.88,76.9170,76.9170,76.8826,28.8668,-72.6952,-5.9055,0.1898,0.4851
30.99,76.9534,76.9534,76.9186,28.9891,-72.5730,-5.9047,0.1900,0.4856
31.10,76.9897,76.9897,76.9545,29.1114,-72.4508,-5.9039,0.1902,0.4861
31.21,77.0258,77.0258,76.9903,29.2337,-72.3286,-5.9031,0.1904,0.4866
31.32,77.0617,77.0617,77.0258,29.3560,-72.2064,-5.9023,0.1906,0.4871
31.43,77.0975,77.0975,77.0613,29.4783,-72.0842,-5.9015,0.1908,0.4876
31.54,77.1331,77.1331,77.0965,29.6006,-71.9620,-5.9007,0.1910,0.4881
31.65,77.1686,77.1686,77.1316,29.7229,-71.8397,-5.8999,0.1912,0.4886
31.76,77.2039,77.2039,77.1666,29.8452,-71.7175,-5.8990,0.1914,0.4891
31.87,77.2391,77.2391,77.2014,29.9675,-71.5953,-5.8982,0.1916,0.4896
31.98,77.2741,77.2741,77.2360,30.0898,-71.4731,-5.8974,0.1918,0.4901
32.09,77.3089,77.3089,77.2705,30.2121,-71.3509,-5.8965,0.1920,0.4906
32.21,77.3436,77.3436,77.3048,30.3344,-71.2286,-5.8957,0.1922,0.4911
32.32,77.3782,77.3782,77.3389,30.4568,-71.1064,-5.8948,0.1924,0.4916
32.43,77.4126,77.4126,77.3729,30.5791,-70.9842,-5.8939,0.1926,0.4921
32.55,77.4468,77.4468,77.4068,30.7014,-70.8620,-5.8931,0.1928,0.4926
32.66,77.4809,77.4809,77.4404,30.8237,-70.7398,-5.8922,0.1930,0.4931
32.78,77.5148,77.5148,77.4739,30.9460,-70.6175,-5.8913,0.1932,0.4936
32.89,77.5486,77.5486,77.5073,31.0684,-70.4953,-5.8904,0.1934,0.4941
33.01,77.5822,77.5822,77.5405,31.1907,-70.3731,-5.8895,0.1936,0.4946
33.12,77.6156,77.6156,77.5735,31.3130,-70.2509,-5.8886,0.1938,0.4951
33.24,77.6489,77.6489,77.6064,31.4353,-70.1287,-5.8877,0.1940,0.4957
33.36,77.6821,77.6821,77.6391,31.5577,-70.0064,-5.8868,0.1942,0.4962
33.47,77.7151,77.7151,77.6716,31.6800,-69.8842,-5.8859,0.1944,0.4967
33.59,77.7479,77.7479,77.7040,31.8023,-69.7620,-5.8850,0.1946,0.4972
33.71,77.7806,77.7806,77.7362,31.9247,-69.6398,-5.8841,0.1948,0.4977
33.83,77.8131,77.8131,77.7683,32.0470,-69.5175,-5.8831,0.1950,0.4982
33.94,77.8455,77.8455,77.8002,32.1694,-69.3953,-5.8822,0.1952,0.4987
34.06,77.8777,77.8777,77.8319,32.2917,-69.2731,-5.8812,0.1954,0.4992
34.18,77.9097,77.9097,77.8635,32.4140,-69.1509,-5.8803,0.1956,0.4997
34.30,77.9416,77.9416,77.8949,32.5364,-69.0286,-5.8793,0.1958,0.5002
34.42,77.9734,77.9734,77.9261,32.6587,-68.9064,-5.8784,0.1960,0.5007
