freq_hz,woofer_raw_db,woofer_sealed_db,woofer_pair_baffle_db,woofer_filtered_db,mid_raw_db,mid_baffle_db,mid_filtered_db,tweeter_raw_db,tweeter_filtered_db,tweeter_final_db,system_sum_db,coherent_sum_db
605.62,89.2629,89.2626,94.8137,46.2922,90.4566,93.0078,92.2116,87.7728,68.8251,67.9212,92.2279,92.7674
623.38,89.2288,89.2286,94.6983,45.1762,90.2720,92.7416,91.8599,88.1181,70.0040,69.1001,91.8830,92.5076
641.66,88.7110,88.7124,94.1014,43.5783,90.0380,92.4269,91.4494,88.3720,71.0824,70.1786,91.4818,92.2014
660.48,88.5068,88.5085,93.8177,42.2933,89.9965,92.3057,91.2213,88.6457,72.1707,71.2669,91.2650,92.0815
679.85,88.6213,88.6226,93.8530,41.3269,90.1509,92.3813,91.1778,88.9395,73.2683,72.3645,91.2345,92.1455
699.78,89.0296,89.0299,94.1825,40.6545,90.2834,92.4361,91.1003,89.4177,74.5386,73.6347,91.1775,92.2146
720.30,89.7465,89.7454,94.8216,40.2913,90.3929,92.4691,90.9868,90.0899,75.9898,75.0860,91.0970,92.3001
741.43,90.2679,90.2660,95.2669,39.7343,90.3403,92.3412,90.6968,90.6523,77.3174,76.4135,90.8559,92.2511
763.17,90.5765,90.5744,95.5014,38.9662,90.1113,92.0383,90.2153,91.0953,78.5105,77.6066,90.4472,92.0622
785.55,90.4051,90.4034,95.2579,37.7199,89.9736,91.8281,89.8085,91.4659,79.6147,78.7108,90.1334,91.9607
808.58,89.6930,89.6924,94.4758,35.9349,89.9387,91.7222,89.4869,91.7547,80.6197,79.7158,89.9222,91.9429
832.29,89.2041,89.2041,93.9181,34.3741,90.0259,91.7399,89.2684,91.9767,81.5392,80.6354,89.8260,92.0150
856.70,88.9751,88.9753,93.6214,33.0743,90.2549,91.9011,89.1718,92.1211,82.3611,81.4572,89.8509,92.1744
881.82,89.0082,89.0083,93.5883,32.0378,90.3958,91.9758,88.9657,92.2294,83.1256,82.2217,89.7994,92.2615
907.68,89.3567,89.3566,93.8720,31.3181,90.4307,91.9461,88.6311,92.2941,83.8243,82.9204,89.6640,92.2652
934.30,89.4436,89.4434,93.8960,30.3387,90.3835,91.8361,88.1910,92.2723,84.4131,83.5092,89.4629,92.1894
961.70,89.2045,89.2045,93.5961,29.0352,90.2341,91.6257,87.6242,92.1429,84.8698,83.9659,89.1797,92.0130
989.90,88.9089,88.9091,93.2414,27.6769,90.1739,91.5063,87.1214,92.0265,85.3143,84.4105,88.9844,91.8972
1018.93,88.5405,88.5408,92.8156,26.2474,90.2287,91.5036,86.7075,91.9269,85.7497,84.8459,88.8860,91.8516
1048.81,88.2275,88.2279,92.4471,24.8751,90.2002,91.4194,86.1837,91.8487,86.1799,85.2761,88.7638,91.7662
1079.56,87.9886,87.9890,92.1543,23.5785,90.0608,91.2261,85.5219,91.7989,86.6116,85.7077,88.6261,91.6394
1111.22,87.9337,87.9341,92.0472,22.4676,89.9528,91.0659,84.8644,91.7282,86.9952,86.0913,88.5313,91.5232
1143.81,88.1328,88.1331,92.1959,21.6125,89.8881,90.9509,84.2228,91.6286,87.3227,86.4188,88.4685,91.4135
1177.35,88.4653,88.4654,92.4796,20.8923,89.7249,90.7391,83.4558,91.5700,87.6641,86.7602,88.4253,91.2875
1211.87,88.9881,88.9881,92.9555,20.3642,89.4212,90.3886,82.5214,91.5700,88.0374,87.1335,88.4232,91.1532
1247.41,89.4185,89.4185,93.3407,19.7455,89.3203,90.2426,81.7636,91.5298,88.3443,87.4404,88.4805,91.0807
1283.99,89.7123,89.7122,93.5910,18.9918,89.5195,90.3984,81.2803,91.4302,88.5662,87.6623,88.5615,91.0675
1321.64,90.0021,90.0020,93.8391,18.2359,89.5869,90.4240,80.6405,91.3897,88.8224,87.9185,88.6636,91.0431
1360.40,90.2859,90.2858,94.0828,17.4756,89.4525,90.2495,79.7750,91.4395,89.1452,88.2413,88.8193,91.0237
1400.29,90.4600,90.4598,94.2184,16.6071,89.3450,90.1036,78.9138,91.3930,89.3490,88.4451,88.9038,90.9483
1441.35,90.4600,90.4598,94.1816,15.5662,89.2802,90.0020,78.0736,91.1938,89.3785,88.4746,88.8536,90.7681
1483.62,90.5673,90.5672,94.2535,14.6341,89.1835,89.8699,77.1810,91.0700,89.4629,88.5590,88.8643,90.6354
1527.13,90.8511,90.8510,94.5035,13.8799,89.0341,89.6866,76.2166,91.0700,89.6519,88.7481,88.9840,90.5917
1571.91,91.0815,91.0814,94.7015,13.0738,88.9382,89.5582,75.2877,91.0884,89.8414,88.9376,89.1210,90.5781
1618.00,91.2210,91.2208,94.8099,12.1782,88.9332,89.5223,74.4330,91.1382,90.0456,89.1417,89.2862,90.6090
1665.45,91.2506,91.2505,94.8100,11.1741,88.9606,89.5200,73.5952,91.0818,90.1282,89.2243,89.3415,90.5548
1714.29,91.0863,91.0862,94.6174,9.9774,89.0452,89.5764,72.8004,90.8379,90.0088,89.1050,89.2055,90.3426
1764.56,90.9378,90.9377,94.4419,8.7978,89.1281,89.6323,71.9907,90.6624,89.9449,89.0411,89.1259,90.1833
1816.31,90.8183,90.8182,94.2966,7.6484,89.2078,89.6862,71.1657,90.6126,89.9947,89.0908,89.1603,90.1298
1869.57,90.7400,90.7399,94.1937,6.5414,89.3544,89.8082,70.3968,90.5285,89.9992,89.0953,89.1536,90.0505
1924.39,90.7400,90.7399,94.1703,5.5138,89.6282,90.0586,69.7452,90.3792,89.9285,89.0246,89.0756,89.9210
1980.82,90.5224,90.5223,93.9304,4.2697,89.8284,90.2365,69.0108,90.2984,89.9174,89.0135,89.0567,89.8416
2038.91,89.8751,89.8751,93.2619,2.5971,89.8832,90.2700,68.1230,90.3532,90.0337,89.1298,89.1641,89.8712
2098.70,89.4971,89.4971,92.8637,1.1947,89.8009,90.1674,67.0906,90.3884,90.1230,89.2191,89.2457,89.8740
2160.24,89.6714,89.6714,93.0187,0.3456,89.4374,89.7847,65.7706,90.3834,90.1656,89.2617,89.2811,89.8245
2223.59,89.9554,89.9554,93.2844,-0.3929,89.1630,89.4920,64.5336,90.4738,90.2977,89.3938,89.4080,89.8768
2288.80,90.4732,90.4732,93.7848,-0.8966,89.0783,89.3900,63.4812,90.7676,90.6278,89.7239,89.7342,90.1375
2355.92,90.9043,90.9043,94.1994,-1.4862,88.9581,89.2532,62.3884,91.0319,90.9238,90.0199,90.0274,90.3736
2425.00,91.1433,91.1433,94.4227,-2.2671,88.7589,89.0383,61.2125,91.2311,91.1504,90.2465,90.2519,90.5484
2496.11,91.2196,91.2196,94.4841,-3.2098,88.6260,88.8906,60.0991,91.3549,91.2979,90.3940,90.3981,90.6558
2569.31,90.9209,90.9209,94.1712,-4.5269,88.6459,88.8963,59.1353,91.3051,91.2685,90.3646,90.3679,90.6000
2644.65,90.7027,90.7027,93.9396,-5.7627,88.6790,88.9160,58.1816,91.2700,91.2508,90.3469,90.3496,90.5585
2722.21,90.6778,90.6778,93.9020,-6.8045,88.7438,88.9680,57.2571,91.2700,91.2657,90.3618,90.3639,90.5520
2802.03,90.9303,90.9303,94.1424,-7.5682,88.7900,89.0021,56.3117,91.2985,91.3067,90.4028,90.4045,90.5728
2884.20,91.8763,91.8763,95.0770,-7.6379,88.7900,88.9907,55.3181,91.3980,91.4168,90.5130,90.5143,90.6628
2968.78,92.4799,92.4799,95.6697,-8.0493,88.7279,88.9177,54.2606,91.4424,91.4700,90.5661,90.5672,90.6981
3055.84,92.1911,92.1911,95.3706,-9.3526,88.5038,88.6833,53.0396,91.3428,91.3777,90.4738,90.4746,90.5898
3145.45,91.6922,91.6921,94.8619,-10.8655,88.2985,88.4682,51.8360,91.2700,91.3108,90.4069,90.4075,90.5088
3237.69,90.6216,90.6216,93.7821,-12.9494,88.1441,88.3046,50.6822,91.2700,91.3155,90.4117,90.4121,90.5009
3332.63,89.7016,89.7016,92.8533,-14.8824,88.0910,88.2427,49.6286,91.2700,91.3193,90.4154,90.4158,90.4944
3430.36,89.2087,89.2087,92.3521,-16.3878,88.3250,88.4684,48.8613,91.2700,91.3221,90.4182,90.4186,90.4906
3530.95,88.7722,88.7722,91.9078,-17.8363,88.5364,88.6720,48.0706,91.2800,91.3342,90.4304,90.4306,90.4963
3634.50,88.5034,88.5034,91.6315,-19.1167,88.6808,88.8090,47.2122,91.3199,91.3755,90.4716,90.4718,90.5311
3741.08,88.1180,88.1180,91.2392,-20.5133,88.7657,88.8869,46.2939,91.3403,91.3968,90.4929,90.4931,90.5463
3850.78,87.3711,87.3711,90.4856,-22.2710,88.6662,88.7806,45.1905,91.3005,91.3573,90.4535,90.4536,90.5007
3963.70,86.8246,86.8246,89.9328,-23.8280,88.6134,88.7216,44.1336,91.3297,91.3866,90.4827,90.4828,90.5245
4079.94,86.9292,86.9292,90.0314,-24.7336,88.7130,88.8152,43.2286,91.5837,91.6401,90.7363,90.7364,90.7728
4199.58,86.9174,86.9174,90.0140,-25.7552,88.7810,88.8776,42.2917,91.8568,91.9126,91.0088,91.0088,91.0406
