freq_Hz,harman_inroom_dB,bbc_inroom_dB,harman_target_dB,bbc_target_dB,harman_postdsp_dB,bbc_postdsp_dB
112.49,1.6692,0.7891,1.5450,1.0586,1.5420,1.0550
112.88,1.6603,0.7817,1.5390,1.0550,1.5368,1.0524
113.28,1.6509,0.7739,1.5329,1.0515,1.5312,1.0493
113.68,1.6405,0.7649,1.5269,1.0480,1.5244,1.0450
114.08,1.6303,0.7562,1.5209,1.0444,1.5177,1.0406
114.48,1.6203,0.7476,1.5148,1.0409,1.5110,1.0364
114.88,1.6105,0.7392,1.5088,1.0374,1.5044,1.0321
115.28,1.6008,0.7311,1.5028,1.0338,1.4978,1.0279
115.69,1.5914,0.7232,1.4968,1.0303,1.4912,1.0238
116.09,1.5821,0.7154,1.4908,1.0267,1.4847,1.0197
116.50,1.5730,0.7079,1.4848,1.0232,1.4783,1.0156
116.91,1.5641,0.7006,1.4788,1.0197,1.4719,1.0116
117.32,1.5554,0.6935,1.4728,1.0161,1.4656,1.0077
117.73,1.5469,0.6866,1.4669,1.0126,1.4593,1.0038
118.14,1.5386,0.6799,1.4609,1.0090,1.4530,1.0000
118.56,1.5305,0.6734,1.4549,1.0055,1.4469,0.9962
118.97,1.5226,0.6672,1.4490,1.0019,1.4408,0.9925
119.39,1.5148,0.6612,1.4430,0.9984,1.4348,0.9888
119.81,1.5073,0.6554,1.4371,0.9948,1.4288,0.9852
120.23,1.4999,0.6497,1.4312,0.9913,1.4228,0.9816
120.65,1.4927,0.6442,1.4252,0.9877,1.4168,0.9780
121.08,1.4856,0.6390,1.4193,0.9842,1.4108,0.9744
121.50,1.4788,0.6340,1.4134,0.9806,1.4049,0.9708
121.93,1.4722,0.6292,1.4075,0.9771,1.3991,0.9673
122.36,1.4658,0.6246,1.4016,0.9735,1.3933,0.9639
122.78,1.4596,0.6202,1.3958,0.9700,1.3875,0.9605
123.22,1.4536,0.6161,1.3899,0.9664,1.3818,0.9571
123.65,1.4478,0.6123,1.3840,0.9629,1.3762,0.9538
124.08,1.4423,0.6086,1.3781,0.9593,1.3705,0.9505
124.52,1.4369,0.6052,1.3723,0.9558,1.3650,0.9473
124.95,1.4318,0.6021,1.3665,0.9522,1.3595,0.9441
125.39,1.4269,0.5992,1.3606,0.9487,1.3541,0.9410
125.83,1.4222,0.5965,1.3548,0.9452,1.3487,0.9379
126.27,1.4177,0.5941,1.3490,0.9416,1.3434,0.9349
126.72,1.4134,0.5919,1.3432,0.9381,1.3381,0.9320
127.16,1.4090,0.5895,1.3374,0.9345,1.3325,0.9286
127.61,1.4042,0.5867,1.3316,0.9310,1.3264,0.9247
128.06,1.3995,0.5841,1.3258,0.9274,1.3204,0.9209
128.51,1.3950,0.5817,1.3201,0.9239,1.3144,0.9172
128.96,1.3908,0.5795,1.3143,0.9204,1.3086,0.9136
129.41,1.3867,0.5775,1.3086,0.9168,1.3029,0.9101
129.86,1.3828,0.5757,1.3028,0.9133,1.2973,0.9067
130.32,1.3791,0.5742,1.2971,0.9097,1.2919,0.9034
130.78,1.3756,0.5729,1.2914,0.9062,1.2865,0.9003
131.24,1.3723,0.5718,1.2857,0.9027,1.2813,0.8973
131.70,1.3692,0.5709,1.2800,0.8992,1.2762,0.8944
132.16,1.3664,0.5703,1.2743,0.8956,1.2712,0.8916
132.62,1.3637,0.5698,1.2686,0.8921,1.2664,0.8890
133.09,1.3612,0.5696,1.2630,0.8886,1.2617,0.8865
133.55,1.3589,0.5696,1.2573,0.8851,1.2571,0.8842
134.02,1.3568,0.5698,1.2517,0.8815,1.2527,0.8820
134.49,1.3549,0.5703,1.2461,0.8780,1.2484,0.8800
134.97,1.3511,0.5687,1.2404,0.8745,1.2422,0.8758
135.44,1.3472,0.5670,1.2348,0.8710,1.2358,0.8714
135.91,1.3434,0.5654,1.2292,0.8675,1.2295,0.8671
136.39,1.3398,0.5640,1.2237,0.8640,1.2232,0.8628
136.87,1.3363,0.5627,1.2181,0.8605,1.2170,0.8586
137.35,1.3330,0.5616,1.2125,0.8570,1.2109,0.8545
137.83,1.3298,0.5606,1.2070,0.8535,1.2048,0.8504
138.32,1.3267,0.5598,1.2014,0.8500,1.1988,0.8464
138.80,1.3237,0.5591,1.1959,0.8465,1.1929,0.8424
139.29,1.3208,0.5586,1.1904,0.8430,1.1870,0.8385
139.78,1.3181,0.5582,1.1849,0.8395,1.1813,0.8347
