freq_Hz,all_zero_dB,optimized_dB,post_dsp_dB,harman_target_dB,dsp_correction_dB
57.60,-0.0030,3.9706,2.6327,2.6280,-1.3379
57.74,0.0026,3.9759,2.6296,2.6250,-1.3463
57.87,0.0083,3.9812,2.6265,2.6219,-1.3547
58.01,0.0139,3.9865,2.6234,2.6188,-1.3631
58.14,0.0196,3.9918,2.6203,2.6157,-1.3715
58.28,0.0252,3.9971,2.6172,2.6127,-1.3799
58.41,0.0309,4.0024,2.6141,2.6096,-1.3883
58.55,0.0365,4.0077,2.6110,2.6065,-1.3966
58.69,0.0422,4.0129,2.6080,2.6033,-1.4050
58.82,0.0478,4.0182,2.6049,2.6002,-1.4133
58.96,0.0535,4.0235,2.6018,2.5971,-1.4217
59.10,0.0592,4.0288,2.5987,2.5940,-1.4300
59.24,0.0648,4.0340,2.5957,2.5908,-1.4384
59.38,0.0705,4.0393,2.5926,2.5877,-1.4467
59.52,0.0762,4.0446,2.5895,2.5845,-1.4550
59.65,0.0819,4.0498,2.5865,2.5814,-1.4634
59.79,0.0876,4.0551,2.5834,2.5782,-1.4717
59.93,0.0933,4.0604,2.5804,2.5750,-1.4800
60.07,0.0986,4.0654,2.5771,2.5718,-1.4883
60.21,0.1039,4.0704,2.5738,2.5687,-1.4966
60.36,0.1091,4.0754,2.5705,2.5655,-1.5049
60.50,0.1144,4.0804,2.5672,2.5623,-1.5132
60.64,0.1197,4.0854,2.5639,2.5590,-1.5215
60.78,0.1250,4.0903,2.5606,2.5558,-1.5298
60.92,0.1303,4.0953,2.5573,2.5526,-1.5380
61.06,0.1356,4.1003,2.5540,2.5494,-1.5463
61.21,0.1409,4.1053,2.5507,2.5461,-1.5546
61.35,0.1461,4.1102,2.5474,2.5429,-1.5629
61.49,0.1514,4.1152,2.5441,2.5396,-1.5711
61.64,0.1567,4.1201,2.5408,2.5364,-1.5794
61.78,0.1620,4.1251,2.5375,2.5331,-1.5876
61.93,0.1673,4.1301,2.5342,2.5299,-1.5959
62.07,0.1725,4.1350,2.5309,2.5266,-1.6041
62.22,0.1778,4.1400,2.5276,2.5233,-1.6124
62.36,0.1831,4.1449,2.5243,2.5200,-1.6206
62.51,0.1884,4.1498,2.5210,2.5167,-1.6288
62.65,0.1937,4.1548,2.5177,2.5134,-1.6371
62.80,0.1990,4.1597,2.5144,2.5101,-1.6453
62.95,0.2042,4.1647,2.5111,2.5068,-1.6535
63.09,0.2095,4.1696,2.5078,2.5034,-1.6617
63.24,0.2148,4.1745,2.5046,2.5001,-1.6700
63.39,0.2201,4.1795,2.5013,2.4968,-1.6782
63.54,0.2254,4.1844,2.4980,2.4934,-1.6864
63.69,0.2304,4.1891,2.4945,2.4901,-1.6946
63.83,0.2355,4.1939,2.4911,2.4867,-1.7028
63.98,0.2405,4.1987,2.4877,2.4833,-1.7110
64.13,0.2456,4.2034,2.4842,2.4800,-1.7192
64.28,0.2506,4.2082,2.4808,2.4766,-1.7274
64.43,0.2557,4.2130,2.4776,2.4732,-1.7354
64.58,0.2607,4.2177,2.4748,2.4698,-1.7430
64.74,0.2658,4.2225,2.4724,2.4664,-1.7501
64.89,0.2708,4.2273,2.4704,2.4630,-1.7569
65.04,0.2759,4.2320,2.4688,2.4596,-1.7632
65.19,0.2810,4.2368,2.4676,2.4562,-1.7692
65.34,0.2860,4.2415,2.4668,2.4528,-1.7748
65.50,0.2911,4.2463,2.4664,2.4493,-1.7799
65.65,0.2961,4.2510,2.4663,2.4459,-1.7847
65.80,0.3012,4.2558,2.4667,2.4424,-1.7890
65.96,0.3062,4.2605,2.4675,2.4390,-1.7930
66.11,0.3113,4.2653,2.4687,2.4355,-1.7966
66.26,0.3163,4.2700,2.4703,2.4321,-1.7998
66.42,0.3214,4.2748,2.4722,2.4286,-1.8025
66.57,0.3265,4.2795,2.4746,2.4251,-1.8049
66.73,0.3315,4.2843,2.4774,2.4217,-1.8069
66.89,0.3366,4.2890,2.4806,2.4182,-1.8085
67.04,0.3417,4.2938,2.4841,2.4147,-1.8096
67.20,0.3468,4.2985,2.4881,2.4112,-1.8104
67.36,0.3519,4.3033,2.4925,2.4077,-1.8108
67.51,0.3572,4.3082,2.4974,2.4042,-1.8108
67.67,0.3625,4.3131,2.5026,2.4006,-1.8104
67.83,0.3677,4.3179,2.5083,2.3971,-1.8096
67.99,0.3730,4.3228,2.5143,2.3936,-1.8085
68.15,0.3648,4.3142,2.5072,2.3900,-1.8070
68.31,0.3499,4.2989,2.4938,2.3865,-1.8050
68.47,0.3350,4.2835,2.4808,2.3829,-1.8027
68.63,0.3201,4.2682,2.4682,2.3794,-1.8000
68.79,0.3052,4.2529,2.4559,2.3758,-1.7970
68.95,0.2903,4.2376,2.4441,2.3723,-1.7935
69.11,0.2754,4.2223,2.4326,2.3687,-1.7897
69.27,0.2606,4.2070,2.4215,2.3651,-1.7855
69.43,0.2457,4.1917,2.4108,2.3615,-1.7809
69.60,0.2309,4.1764,2.4005,2.3579,-1.7759
69.76,0.2160,4.1611,2.3905,2.3543,-1.7706
69.92,0.2012,4.1458,2.3810,2.3507,-1.7648
70.08,0.1864,4.1305,2.3718,2.3471,-1.7587
70.25,0.1716,4.1153,2.3630,2.3435,-1.7523
70.41,0.1567,4.1000,2.3546,2.3399,-1.7454
70.58,0.1420,4.0847,2.3466,2.3363,-1.7382
70.74,0.1272,4.0695,2.3389,2.3326,-1.7305
70.91,0.1124,4.0542,2.3317,2.3290,-1.7226
71.07,0.0976,4.0390,2.3248,2.3254,-1.7142
71.24,0.0829,4.0238,2.3183,2.3217,-1.7055
71.41,0.0687,4.0089,2.3126,2.3181,-1.6963
71.57,0.0547,3.9941,2.3073,2.3144,-1.6868
71.74,0.0407,3.9794,2.3024,2.3107,-1.6770
71.91,0.0268,3.9647,2.2979,2.3071,-1.6667
72.08,0.0129,3.9500,2.2939,2.3034,-1.6561
72.24,-0.0010,3.9353,2.2902,2.2997,-1.6451
72.41,-0.0149,3.9206,2.2866,2.2960,-1.6340
72.58,-0.0287,3.9060,2.2831,2.2923,-1.6229
72.75,-0.0425,3.8913,2.2795,2.2886,-1.6118
72.92,-0.0563,3.8767,2.2759,2.2849,-1.6008
73.09,-0.0700,3.8622,2.2723,2.2812,-1.5898
73.26,-0.0837,3.8476,2.2688,2.2775,-1.5788
73.44,-0.0974,3.8331,2.2652,2.2738,-1.5679
73.61,-0.1110,3.8185,2.2616,2.2701,-1.5570
73.78,-0.1246,3.8040,2.2579,2.2664,-1.5461
73.95,-0.1382,3.7896,2.2543,2.2626,-1.5353
74.12,-0.1517,3.7751,2.2507,2.2589,-1.5244
74.30,-0.1652,3.7607,2.2471,2.2551,-1.5137
74.47,-0.1786,3.7463,2.2434,2.2514,-1.5029
74.65,-0.1920,3.7319,2.2398,2.2476,-1.4922
74.82,-0.2054,3.7176,2.2361,2.2439,-1.4815
74.99,-0.2187,3.7033,2.2324,2.2401,-1.4708
75.17,-0.2320,3.6890,2.2288,2.2363,-1.4602
75.35,-0.2453,3.6747,2.2251,2.2326,-1.4496
75.52,-0.2585,3.6604,2.2214,2.2288,-1.4391
75.70,-0.2719,3.6461,2.2175,2.2250,-1.4286
75.88,-0.2853,3.6317,2.2137,2.2212,-1.4181
76.05,-0.2986,3.6174,2.2098,2.2174,-1.4076
76.23,-0.3120,3.6031,2.2060,2.2136,-1.3971
76.41,-0.3252,3.5888,2.2021,2.2098,-1.3867
76.59,-0.3385,3.5746,2.1983,2.2060,-1.3763
76.77,-0.3517,3.5603,2.1944,2.2022,-1.3659
76.95,-0.3648,3.5461,2.1906,2.1984,-1.3555
77.13,-0.3779,3.5320,2.1868,2.1946,-1.3452
77.31,-0.3910,3.5178,2.1829,2.1908,-1.3349
77.49,-0.4040,3.5037,2.1791,2.1869,-1.3246
77.67,-0.4170,3.4896,2.1753,2.1831,-1.3143
77.85,-0.4300,3.4755,2.1715,2.1792,-1.3041
78.03,-0.4429,3.4615,2.1677,2.1754,-1.2938
78.21,-0.4558,3.4475,2.1639,2.1716,-1.2836
78.40,-0.4686,3.4335,2.1601,2.1677,-1.2734
78.58,-0.4814,3.4196,2.1563,2.1639,-1.2633
78.76,-0.4941,3.4056,2.1525,2.1600,-1.2531
78.95,-0.5068,3.3918,2.1487,2.1561,-1.2430
79.13,-0.5195,3.3779,2.1450,2.1523,-1.2329
79.32,-0.5321,3.3641,2.1412,2.1484,-1.2229
79.50,-0.5446,3.3503,2.1375,2.1445,-1.2128
79.69,-0.5571,3.3365,2.1337,2.1406,-1.2028
79.88,-0.5696,3.3228,2.1300,2.1367,-1.1928
80.06,-0.5821,3.3090,2.1261,2.1329,-1.1828
80.25,-0.5950,3.2950,2.1221,2.1290,-1.1729
80.44,-0.6077,3.2811,2.1181,2.1251,-1.1630
80.62,-0.6205,3.2672,2.1141,2.1212,-1.1531
80.81,-0.6332,3.2533,2.1102,2.1173,-1.1432
81.00,-0.6458,3.2395,2.1062,2.1134,-1.1333
81.19,-0.6584,3.2257,2.1022,2.1094,-1.1234
81.38,-0.6710,3.2119,2.0983,2.1055,-1.1136
81.57,-0.6835,3.1981,2.0943,2.1016,-1.1038
81.76,-0.6960,3.1844,2.0903,2.0977,-1.0940
81.95,-0.7085,3.1707,2.0864,2.0938,-1.0843
82.15,-0.7209,3.1570,2.0825,2.0898,-1.0745
82.34,-0.7332,3.1433,2.0786,2.0859,-1.0648
82.53,-0.7455,3.1297,2.0746,2.0820,-1.0551
82.72,-0.7578,3.1161,2.0707,2.0780,-1.0454
82.92,-0.7700,3.1026,2.0669,2.0741,-1.0357
83.11,-0.7822,3.0891,2.0630,2.0701,-1.0261
83.30,-0.7944,3.0756,2.0591,2.0662,-1.0165
83.50,-0.8065,3.0621,2.0552,2.0622,-1.0069
83.69,-0.8185,3.0487,2.0514,2.0583,-0.9973
83.89,-0.8305,3.0353,2.0476,2.0543,-0.9877
84.09,-0.8424,3.0219,2.0437,2.0503,-0.9782
84.28,-0.8543,3.0086,2.0399,2.0464,-0.9687
84.48,-0.8662,2.9953,2.0361,2.0424,-0.9592
84.68,-0.8780,2.9820,2.0323,2.0384,-0.9497
84.88,-0.8901,2.9686,2.0284,2.0344,-0.9402
85.07,-0.9023,2.9550,2.0243,2.0305,-0.9308
85.27,-0.9145,2.9415,2.0201,2.0265,-0.9214
85.47,-0.9267,2.9280,2.0160,2.0225,-0.9120
85.67,-0.9389,2.9145,2.0119,2.0185,-0.9026
85.87,-0.9510,2.9011,2.0078,2.0145,-0.8933
86.07,-0.9630,2.8877,2.0037,2.0105,-0.8840
86.27,-0.9750,2.8743,1.9996,2.0065,-0.8747
86.48,-0.9870,2.8609,1.9955,2.0025,-0.8654
86.68,-0.9990,2.8476,1.9914,1.9985,-0.8562
86.88,-1.0109,2.8343,1.9873,1.9945,-0.8470
87.08,-1.0227,2.8210,1.9832,1.9905,-0.8378
87.29,-1.0345,2.8078,1.9791,1.9865,-0.8287
87.49,-1.0463,2.7945,1.9750,1.9825,-0.8195
87.70,-1.0580,2.7814,1.9709,1.9785,-0.8104
87.90,-1.0697,2.7682,1.9668,1.9744,-0.8014
88.11,-1.0814,2.7551,1.9628,1.9704,-0.7923
88.31,-1.0930,2.7420,1.9587,1.9664,-0.7833
88.52,-1.1045,2.7289,1.9546,1.9624,-0.7743
88.73,-1.1160,2.7159,1.9505,1.9583,-0.7653
88.93,-1.1275,2.7029,1.9465,1.9543,-0.7564
89.14,-1.1389,2.6899,1.9424,1.9503,-0.7475
89.35,-1.1503,2.6770,1.9383,1.9463,-0.7386
89.56,-1.1616,2.6641,1.9343,1.9422,-0.7298
89.77,-1.1729,2.6512,1.9302,1.9382,-0.7209
89.98,-1.1841,2.6383,1.9262,1.9341,-0.7121
90.19,-1.1953,2.6255,1.9222,1.9301,-0.7033
90.40,-1.2065,2.6127,1.9182,1.9261,-0.6945
90.61,-1.2176,2.6000,1.9142,1.9220,-0.6857
90.82,-1.2287,2.5872,1.9103,1.9180,-0.6769
91.03,-1.2397,2.5746,1.9064,1.9139,-0.6681
91.25,-1.2506,2.5619,1.9026,1.9099,-0.6593
91.46,-1.2615,2.5493,1.8987,1.9058,-0.6505
91.67,-1.2724,2.5367,1.8950,1.9017,-0.6417
91.89,-1.2832,2.5242,1.8912,1.8977,-0.6330
92.10,-1.2940,2.5116,1.8875,1.8936,-0.6242
92.32,-1.3047,2.4992,1.8838,1.8896,-0.6154
92.53,-1.3154,2.4867,1.8801,1.8855,-0.6066
92.75,-1.3260,2.4743,1.8765,1.8814,-0.5978
92.97,-1.3365,2.4619,1.8729,1.8774,-0.5890
93.18,-1.3470,2.4496,1.8694,1.8733,-0.5802
93.40,-1.3575,2.4373,1.8659,1.8693,-0.5714
93.62,-1.3679,2.4250,1.8624,1.8652,-0.5626
93.84,-1.3782,2.4128,1.8590,1.8611,-0.5538
94.06,-1.3885,2.4006,1.8556,1.8570,-0.5450
94.28,-1.3988,2.3884,1.8523,1.8530,-0.5361
94.50,-1.4090,2.3763,1.8490,1.8489,-0.5273
94.72,-1.4191,2.3642,1.8458,1.8448,-0.5185
94.94,-1.4292,2.3522,1.8425,1.8408,-0.5097
95.16,-1.4394,2.3400,1.8392,1.8367,-0.5008
95.39,-1.4518,2.3265,1.8345,1.8326,-0.4920
95.61,-1.4642,2.3130,1.8297,1.8285,-0.4833
95.83,-1.4765,2.2995,1.8248,1.8244,-0.4746
96.06,-1.4889,2.2860,1.8199,1.8204,-0.4661
96.28,-1.5012,2.2725,1.8149,1.8163,-0.4576
96.51,-1.5135,2.2590,1.8098,1.8122,-0.4492
96.73,-1.5258,2.2456,1.8046,1.8081,-0.4409
96.96,-1.5380,2.2321,1.7994,1.8040,-0.4327
97.19,-1.5503,2.2187,1.7941,1.8000,-0.4246
97.41,-1.5625,2.2053,1.7887,1.7959,-0.4166
97.64,-1.5748,2.1919,1.7832,1.7918,-0.4087
97.87,-1.5870,2.1785,1.7776,1.7877,-0.4009
98.10,-1.5991,2.1651,1.7719,1.7836,-0.3932
98.33,-1.6113,2.1517,1.7662,1.7795,-0.3856
98.56,-1.6235,2.1384,1.7603,1.7754,-0.3781
98.79,-1.6356,2.1250,1.7544,1.7714,-0.3707
99.02,-1.6478,2.1117,1.7483,1.7673,-0.3634
99.25,-1.6599,2.0984,1.7422,1.7632,-0.3562
99.48,-1.6720,2.0851,1.7360,1.7591,-0.3491
99.71,-1.6840,2.0718,1.7296,1.7550,-0.3421
99.95,-1.6961,2.0585,1.7232,1.7509,-0.3353
100.18,-1.7082,2.0452,1.7166,1.7468,-0.3286
100.41,-1.7202,2.0319,1.7100,1.7428,-0.3220
100.65,-1.7322,2.0187,1.7032,1.7387,-0.3155
100.88,-1.7415,2.0072,1.6981,1.7346,-0.3091
101.12,-1.7467,1.9984,1.6955,1.7305,-0.3028
101.36,-1.7516,1.9897,1.6930,1.7264,-0.2967
101.59,-1.7564,1.9811,1.6905,1.7223,-0.2906
101.83,-1.7611,1.9727,1.6880,1.7182,-0.2847
102.07,-1.7655,1.9644,1.6855,1.7142,-0.2789
102.31,-1.7698,1.9561,1.6829,1.7101,-0.2732
102.55,-1.7740,1.9480,1.6804,1.7060,-0.2676
102.79,-1.7779,1.9400,1.6779,1.7019,-0.2622
103.03,-1.7817,1.9322,1.6754,1.6978,-0.2568
103.27,-1.7853,1.9244,1.6729,1.6937,-0.2516
103.51,-1.7887,1.9168,1.6704,1.6897,-0.2465
103.75,-1.7919,1.9093,1.6678,1.6856,-0.2415
103.99,-1.7949,1.9020,1.6653,1.6815,-0.2367
104.24,-1.7978,1.8948,1.6628,1.6774,-0.2319
104.48,-1.8004,1.8877,1.6603,1.6733,-0.2273
104.73,-1.8028,1.8807,1.6578,1.6693,-0.2229
104.97,-1.8051,1.8739,1.6553,1.6652,-0.2185
105.22,-1.8071,1.8672,1.6528,1.6611,-0.2143
105.46,-1.8089,1.8606,1.6504,1.6570,-0.2103
105.71,-1.8106,1.8542,1.6479,1.6530,-0.2064
105.96,-1.8120,1.8480,1.6454,1.6489,-0.2026
106.20,-1.8131,1.8419,1.6429,1.6448,-0.1989
106.45,-1.8141,1.8359,1.6405,1.6407,-0.1954
106.70,-1.8149,1.8301,1.6380,1.6367,-0.1921
106.95,-1.8178,1.8228,1.6340,1.6326,-0.1889
107.20,-1.8220,1.8148,1.6290,1.6285,-0.1858
107.45,-1.8260,1.8068,1.6241,1.6245,-0.1827
107.70,-1.8299,1.7990,1.6193,1.6204,-0.1797
107.95,-1.8337,1.7912,1.6145,1.6163,-0.1766
108.21,-1.8373,1.7835,1.6098,1.6123,-0.1737
108.46,-1.8409,1.7759,1.6051,1.6082,-0.1707
108.71,-1.8442,1.7683,1.6005,1.6042,-0.1678
108.97,-1.8475,1.7609,1.5960,1.6001,-0.1650
109.22,-1.8506,1.7536,1.5915,1.5960,-0.1621
109.48,-1.8536,1.7463,1.5870,1.5920,-0.1593
109.73,-1.8565,1.7392,1.5827,1.5879,-0.1565
109.99,-1.8592,1.7321,1.5784,1.5839,-0.1538
110.25,-1.8617,1.7252,1.5741,1.5798,-0.1510
110.50,-1.8642,1.7183,1.5700,1.5758,-0.1483
110.76,-1.8664,1.7115,1.5659,1.5717,-0.1457
111.02,-1.8686,1.7049,1.5618,1.5677,-0.1430
111.28,-1.8706,1.6983,1.5579,1.5637,-0.1404
111.54,-1.8724,1.6918,1.5540,1.5596,-0.1378
111.80,-1.8741,1.6855,1.5502,1.5556,-0.1352
112.06,-1.8757,1.6792,1.5465,1.5515,-0.1327
112.32,-1.8771,1.6730,1.5429,1.5475,-0.1301
112.59,-1.8784,1.6670,1.5394,1.5435,-0.1276
112.85,-1.8795,1.6610,1.5359,1.5395,-0.1251
113.11,-1.8804,1.6552,1.5326,1.5354,-0.1226
113.38,-1.8829,1.6483,1.5282,1.5314,-0.1201
113.64,-1.8854,1.6414,1.5237,1.5274,-0.1177
113.91,-1.8879,1.6346,1.5192,1.5234,-0.1153
114.18,-1.8902,1.6278,1.5148,1.5193,-0.1130
114.44,-1.8924,1.6212,1.5104,1.5153,-0.1108
114.71,-1.8945,1.6146,1.5060,1.5113,-0.1086
114.98,-1.8964,1.6081,1.5016,1.5073,-0.1065
115.25,-1.8983,1.6016,1.4972,1.5033,-0.1044
115.52,-1.9000,1.5953,1.4929,1.4993,-0.1024
115.79,-1.9016,1.5890,1.4885,1.4953,-0.1005
116.06,-1.9030,1.5829,1.4842,1.4913,-0.0986
116.33,-1.9044,1.5768,1.4800,1.4873,-0.0968
116.60,-1.9056,1.5708,1.4757,1.4833,-0.0951
116.87,-1.9067,1.5649,1.4715,1.4793,-0.0934
117.15,-1.9077,1.5590,1.4673,1.4753,-0.0918
117.42,-1.9086,1.5533,1.4631,1.4714,-0.0902
117.70,-1.9093,1.5476,1.4589,1.4674,-0.0887
117.97,-1.9099,1.5420,1.4548,1.4634,-0.0872
118.25,-1.9104,1.5366,1.4507,1.4594,-0.0859
118.52,-1.9107,1.5312,1.4466,1.4554,-0.0845
118.80,-1.9109,1.5258,1.4426,1.4515,-0.0833
119.08,-1.9110,1.5206,1.4386,1.4475,-0.0821
119.36,-1.9110,1.5155,1.4346,1.4435,-0.0809
119.63,-1.9108,1.5105,1.4306,1.4396,-0.0799
119.91,-1.9105,1.5055,1.4266,1.4356,-0.0788
120.19,-1.9102,1.5005,1.4227,1.4317,-0.0779
120.48,-1.9098,1.4957,1.4187,1.4277,-0.0770
120.76,-1.9092,1.4909,1.4148,1.4238,-0.0762
121.04,-1.9085,1.4862,1.4108,1.4198,-0.0754
121.32,-1.9077,1.4817,1.4069,1.4159,-0.0747
121.61,-1.9067,1.4772,1.4030,1.4120,-0.0741
121.89,-1.9056,1.4728,1.3992,1.4080,-0.0736
122.18,-1.9044,1.4685,1.3953,1.4041,-0.0731
122.46,-1.9030,1.4642,1.3915,1.4002,-0.0727
122.75,-1.9015,1.4601,1.3877,1.3963,-0.0724
123.03,-1.8998,1.4561,1.3839,1.3923,-0.0721
123.32,-1.8981,1.4522,1.3802,1.3884,-0.0720
123.61,-1.8961,1.4483,1.3765,1.3845,-0.0718
123.90,-1.8941,1.4446,1.3728,1.3806,-0.0718
124.19,-1.8919,1.4409,1.3691,1.3767,-0.0718
124.48,-1.8895,1.4374,1.3654,1.3728,-0.0719
124.77,-1.8871,1.4339,1.3618,1.3689,-0.0721
125.06,-1.8845,1.4305,1.3582,1.3650,-0.0724
125.35,-1.8817,1.4273,1.3546,1.3611,-0.0727
125.65,-1.8788,1.4241,1.3510,1.3573,-0.0731
125.94,-1.8758,1.4210,1.3475,1.3534,-0.0736
126.24,-1.8726,1.4181,1.3440,1.3495,-0.0741
126.53,-1.8693,1.4152,1.3405,1.3456,-0.0747
126.83,-1.8658,1.4124,1.3371,1.3418,-0.0754
127.12,-1.8626,1.4095,1.3333,1.3379,-0.0761
127.42,-1.8599,1.4062,1.3292,1.3340,-0.0769
127.72,-1.8570,1.4030,1.3252,1.3302,-0.0778
128.02,-1.8540,1.3999,1.3212,1.3263,-0.0787
128.32,-1.8509,1.3969,1.3173,1.3225,-0.0796
128.62,-1.8477,1.3940,1.3134,1.3187,-0.0806
128.92,-1.8443,1.3911,1.3096,1.3148,-0.0816
129.22,-1.8408,1.3884,1.3058,1.3110,-0.0826
129.52,-1.8372,1.3857,1.3020,1.3072,-0.0837
129.82,-1.8334,1.3831,1.2983,1.3033,-0.0848
130.13,-1.8295,1.3806,1.2947,1.2995,-0.0860
130.43,-1.8255,1.3782,1.2911,1.2957,-0.0871
130.74,-1.8214,1.3759,1.2876,1.2919,-0.0884
131.04,-1.8171,1.3737,1.2841,1.2881,-0.0896
131.35,-1.8127,1.3716,1.2806,1.2843,-0.0909
131.66,-1.8082,1.3695,1.2773,1.2805,-0.0922
131.96,-1.8035,1.3676,1.2740,1.2767,-0.0936
132.27,-1.7987,1.3657,1.2707,1.2729,-0.0950
132.58,-1.7938,1.3639,1.2675,1.2691,-0.0964
132.89,-1.7888,1.3622,1.2643,1.2654,-0.0978
133.20,-1.7836,1.3606,1.2613,1.2616,-0.0993
133.51,-1.7783,1.3591,1.2582,1.2578,-0.1008
133.82,-1.7729,1.3576,1.2553,1.2541,-0.1023
134.14,-1.7673,1.3563,1.2524,1.2503,-0.1039
134.45,-1.7616,1.3550,1.2496,1.2466,-0.1055
134.77,-1.7574,1.3528,1.2457,1.2428,-0.1071
135.08,-1.7536,1.3501,1.2414,1.2391,-0.1087
135.40,-1.7498,1.3475,1.2372,1.2353,-0.1103
135.71,-1.7459,1.3450,1.2330,1.2316,-0.1120
136.03,-1.7419,1.3426,1.2288,1.2279,-0.1137
136.35,-1.7378,1.3402,1.2247,1.2242,-0.1155
136.67,-1.7337,1.3378,1.2205,1.2205,-0.1173
136.99,-1.7294,1.3355,1.2164,1.2167,-0.1191
137.31,-1.7250,1.3333,1.2124,1.2130,-0.1209
137.63,-1.7206,1.3311,1.2083,1.2093,-0.1228
137.95,-1.7160,1.3290,1.2043,1.2056,-0.1247
138.27,-1.7114,1.3269,1.2003,1.2020,-0.1266
138.60,-1.7067,1.3249,1.1964,1.1983,-0.1286
138.92,-1.7019,1.3230,1.1924,1.1946,-0.1305
139.24,-1.6970,1.3211,1.1886,1.1909,-0.1325
139.57,-1.6921,1.3192,1.1847,1.1873,-0.1345
139.90,-1.6870,1.3174,1.1809,1.1836,-0.1366
140.22,-1.6819,1.3157,1.1771,1.1799,-0.1386
140.55,-1.6767,1.3140,1.1733,1.1763,-0.1407
140.88,-1.6714,1.3123,1.1696,1.1726,-0.1428
141.21,-1.6660,1.3108,1.1659,1.1690,-0.1449
141.54,-1.6605,1.3092,1.1622,1.1654,-0.1470
141.87,-1.6550,1.3077,1.1586,1.1617,-0.1491
142.20,-1.6494,1.3063,1.1550,1.1581,-0.1512
142.53,-1.6437,1.3049,1.1515,1.1545,-0.1534
142.87,-1.6379,1.3035,1.1480,1.1509,-0.1555
143.20,-1.6320,1.3022,1.1445,1.1473,-0.1577
143.54,-1.6261,1.3009,1.1411,1.1437,-0.1599
143.87,-1.6201,1.2997,1.1377,1.1401,-0.1621
144.21,-1.6140,1.2985,1.1343,1.1365,-0.1643
144.54,-1.6079,1.2974,1.1309,1.1329,-0.1665
144.88,-1.6017,1.2963,1.1276,1.1294,-0.1687
145.22,-1.5954,1.2952,1.1243,1.1258,-0.1709
145.56,-1.5890,1.2942,1.1210,1.1222,-0.1732
145.90,-1.5826,1.2932,1.1178,1.1187,-0.1754
146.24,-1.5761,1.2923,1.1146,1.1151,-0.1777
146.58,-1.5695,1.2914,1.1114,1.1116,-0.1799
146.93,-1.5629,1.2905,1.1083,1.1080,-0.1822
147.27,-1.5562,1.2896,1.1052,1.1045,-0.1844
147.61,-1.5495,1.2888,1.1021,1.1010,-0.1867
147.96,-1.5427,1.2881,1.0991,1.0974,-0.1890
148.31,-1.5358,1.2873,1.0961,1.0939,-0.1912
148.65,-1.5289,1.2866,1.0931,1.0904,-0.1935
149.00,-1.5219,1.2859,1.0902,1.0869,-0.1957
149.35,-1.5148,1.2852,1.0873,1.0834,-0.1979
149.70,-1.5077,1.2846,1.0844,1.0799,-0.2002
150.05,-1.5006,1.2840,1.0816,1.0765,-0.2024
150.40,-1.4934,1.2834,1.0788,1.0730,-0.2046
150.75,-1.4862,1.2828,1.0761,1.0695,-0.2067
151.10,-1.4792,1.2820,1.0731,1.0660,-0.2089
151.46,-1.4733,1.2804,1.0694,1.0626,-0.2111
151.81,-1.4673,1.2789,1.0657,1.0591,-0.2132
152.16,-1.4614,1.2773,1.0620,1.0557,-0.2153
152.52,-1.4554,1.2757,1.0583,1.0522,-0.2174
152.88,-1.4494,1.2741,1.0547,1.0488,-0.2194
153.23,-1.4433,1.2726,1.0511,1.0454,-0.2215
153.59,-1.4373,1.2710,1.0475,1.0420,-0.2235
153.95,-1.4312,1.2694,1.0439,1.0385,-0.2254
154.31,-1.4252,1.2678,1.0404,1.0351,-0.2274
154.67,-1.4191,1.2662,1.0369,1.0317,-0.2293
155.03,-1.4130,1.2645,1.0333,1.0283,-0.2312
155.40,-1.4069,1.2629,1.0299,1.0249,-0.2330
155.76,-1.4008,1.2612,1.0264,1.0216,-0.2348
156.12,-1.3947,1.2595,1.0230,1.0182,-0.2365
156.49,-1.3886,1.2578,1.0196,1.0148,-0.2383
156.85,-1.3825,1.2561,1.0162,1.0115,-0.2399
157.22,-1.3764,1.2543,1.0128,1.0081,-0.2415
157.59,-1.3703,1.2525,1.0095,1.0048,-0.2431
157.96,-1.3642,1.2507,1.0061,1.0014,-0.2446
158.33,-1.3581,1.2489,1.0028,0.9981,-0.2460
158.70,-1.3521,1.2470,0.9996,0.9948,-0.2474
159.07,-1.3460,1.2451,0.9963,0.9914,-0.2488
159.44,-1.3400,1.2432,0.9931,0.9881,-0.2501
159.81,-1.3340,1.2412,0.9899,0.9848,-0.2513
160.19,-1.3279,1.2392,0.9868,0.9815,-0.2524
160.56,-1.3219,1.2372,0.9837,0.9782,-0.2535
160.94,-1.3158,1.2352,0.9806,0.9749,-0.2546
161.31,-1.3098,1.2331,0.9774,0.9716,-0.2556
161.69,-1.3038,1.2309,0.9743,0.9684,-0.2567
162.07,-1.2979,1.2288,0.9711,0.9651,-0.2577
162.45,-1.2920,1.2265,0.9679,0.9618,-0.2587
162.83,-1.2861,1.2242,0.9646,0.9586,-0.2596
163.21,-1.2802,1.2219,0.9613,0.9553,-0.2605
163.59,-1.2744,1.2195,0.9580,0.9521,-0.2614
163.97,-1.2687,1.2170,0.9547,0.9489,-0.2623
164.35,-1.2630,1.2145,0.9514,0.9456,-0.2631
164.74,-1.2573,1.2119,0.9480,0.9424,-0.2639
165.12,-1.2517,1.2092,0.9446,0.9392,-0.2646
165.51,-1.2461,1.2065,0.9412,0.9360,-0.2653
