freq_Hz,woofer_dB,mid_dB,tweeter_dB,sum_dB
9725.75,-142.6277,-78.0210,-1.6903,-1.6889
9759.88,-142.7494,-78.2080,-1.6787,-1.6774
9794.14,-142.8711,-78.3952,-1.6671,-1.6658
9828.51,-142.9928,-78.5826,-1.6555,-1.6542
9863.00,-143.1145,-78.7703,-1.6438,-1.6426
9897.61,-143.2362,-78.9583,-1.6321,-1.6309
9932.35,-143.3579,-79.1464,-1.6203,-1.6191
9967.20,-143.4796,-79.3348,-1.6087,-1.6076
10002.18,-143.6013,-79.5234,-1.6029,-1.6018
10037.29,-143.7229,-79.7123,-1.5969,-1.5959
10072.51,-143.8446,-79.9014,-1.5910,-1.5900
10107.86,-143.9663,-80.0907,-1.5851,-1.5840
10143.33,-144.0880,-80.2803,-1.5791,-1.5781
10178.93,-144.2097,-80.4701,-1.5731,-1.5721
10214.65,-144.3314,-80.6601,-1.5671,-1.5661
10250.50,-144.4531,-80.8424,-1.5610,-1.5601
10286.47,-144.5748,-81.0054,-1.5550,-1.5541
10322.57,-144.6965,-81.1686,-1.5489,-1.5480
10358.80,-144.8182,-81.3319,-1.5428,-1.5419
10395.15,-144.9399,-81.4954,-1.5367,-1.5358
10431.63,-145.0615,-81.6590,-1.5306,-1.5297
10468.24,-145.1832,-81.8228,-1.5244,-1.5236
10504.98,-145.3049,-81.9867,-1.5182,-1.5174
10541.85,-145.4266,-82.1508,-1.5120,-1.5112
10578.84,-145.5483,-82.3150,-1.4904,-1.4896
10615.97,-145.6700,-82.4793,-1.4516,-1.4508
10653.22,-145.7917,-82.6438,-1.4126,-1.4119
10690.61,-145.9134,-82.8085,-1.3735,-1.3728
10728.13,-146.0351,-82.9733,-1.3343,-1.3336
10765.78,-146.1568,-83.1383,-1.2949,-1.2942
10803.56,-146.2785,-83.3034,-1.2554,-1.2547
10841.47,-146.4002,-83.4687,-1.2157,-1.2150
10879.52,-146.5219,-83.7365,-1.1759,-1.1753
10917.70,-146.6435,-84.0299,-1.1360,-1.1354
10956.02,-146.7652,-84.3238,-1.0959,-1.0953
10994.47,-146.8869,-84.6183,-1.0557,-1.0551
11033.05,-147.0086,-84.9135,-1.0153,-1.0148
11071.77,-147.1303,-85.2092,-0.9748,-0.9743
11110.63,-147.2520,-85.5056,-0.9342,-0.9337
11149.62,-147.3737,-85.8025,-0.8934,-0.8929
11188.75,-147.4954,-86.1001,-0.8525,-0.8520
11228.01,-147.6171,-86.3983,-0.8310,-0.8306
11267.42,-147.7388,-86.6971,-0.8116,-0.8111
11306.96,-147.8605,-86.9966,-0.7920,-0.7916
11346.64,-147.9822,-87.2966,-0.7725,-0.7720
11386.46,-148.1039,-87.5973,-0.7528,-0.7524
11426.42,-148.2256,-87.8987,-0.7331,-0.7327
11466.52,-148.3473,-88.2006,-0.7133,-0.7129
11506.76,-148.4690,-88.5242,-0.6934,-0.6931
11547.14,-148.5906,-88.8941,-0.6735,-0.6732
11587.67,-148.7123,-89.2648,-0.6535,-0.6532
11628.33,-148.8340,-89.6364,-0.6334,-0.6331
11669.14,-148.9557,-90.0088,-0.6133,-0.6130
11710.09,-149.0774,-90.3822,-0.5931,-0.5928
11751.19,-149.1991,-90.7564,-0.5728,-0.5725
11792.43,-149.3208,-91.1315,-0.5524,-0.5522
11833.82,-149.4425,-91.5075,-0.5320,-0.5318
11875.35,-149.5642,-91.8844,-0.5144,-0.5142
11917.02,-149.6859,-92.2622,-0.5027,-0.5024
11958.84,-149.8076,-92.6409,-0.4909,-0.4906
12000.81,-149.9293,-93.0205,-0.4790,-0.4788
12042.93,-150.0510,-93.4010,-0.4671,-0.4669
12085.19,-150.1727,-93.7824,-0.4552,-0.4550
12127.60,-150.2944,-94.1647,-0.4432,-0.4430
12170.16,-150.4161,-94.5480,-0.4312,-0.4310
12212.87,-150.5378,-94.8808,-0.4191,-0.4190
12255.73,-150.6595,-95.2037,-0.4070,-0.4069
12298.75,-150.7812,-95.5274,-0.3949,-0.3948
12341.91,-150.9028,-95.8517,-0.3827,-0.3826
12385.22,-151.0245,-96.1768,-0.3705,-0.3704
12428.68,-151.1462,-96.5026,-0.3582,-0.3581
12472.30,-151.2679,-96.8291,-0.3459,-0.3458
12516.07,-151.3896,-97.1563,-0.3336,-0.3334
12560.00,-151.5113,-97.4842,-0.3212,-0.3210
12604.08,-151.6330,-97.8129,-0.3030,-0.3029
12648.31,-151.7547,-98.1423,-0.2830,-0.2828
12692.70,-151.8764,-98.4724,-0.2629,-0.2627
12737.24,-151.9981,-98.8032,-0.2427,-0.2426
12781.94,-152.1198,-99.1348,-0.2225,-0.2224
12826.80,-152.2415,-99.4671,-0.2021,-0.2021
12871.81,-152.3632,-99.8002,-0.1818,-0.1817
12916.99,-152.4849,-100.1018,-0.1613,-0.1612
12962.32,-152.6066,-100.3417,-0.1408,-0.1407
13007.81,-152.7283,-100.5820,-0.1202,-0.1201
13053.46,-152.8500,-100.8227,-0.0995,-0.0995
13099.27,-152.9717,-101.0638,-0.0788,-0.0787
13145.24,-153.0934,-101.3054,-0.0580,-0.0579
13191.37,-153.2151,-101.5473,-0.0371,-0.0370
13237.67,-153.3368,-101.7897,-0.0161,-0.0161
