freq_Hz,on_axis,LW,ER,SP,DI,PIR
1043.434,0.0000,-0.1018,-0.6395,-0.5060,0.5060,-0.2457
1053.108,0.0000,-0.1021,-0.6411,-0.5074,0.5074,-0.2463
1062.872,0.0000,-0.1024,-0.6426,-0.5085,0.5085,-0.2468
1072.726,0.0000,-0.1026,-0.6438,-0.5095,0.5095,-0.2473
1082.672,0.0000,-0.1028,-0.6449,-0.5104,0.5104,-0.2477
1092.710,0.0000,-0.1030,-0.6458,-0.5111,0.5111,-0.2480
1102.841,0.0000,-0.1033,-0.6467,-0.5119,0.5119,-0.2484
1113.066,0.0000,-0.1043,-0.6522,-0.5166,0.5166,-0.2506
1123.386,0.0000,-0.1064,-0.6641,-0.5272,0.5272,-0.2556
1133.801,0.0000,-0.1098,-0.6829,-0.5438,0.5438,-0.2634
1144.314,0.0000,-0.1144,-0.7091,-0.5669,0.5669,-0.2742
1154.923,0.0000,-0.1204,-0.7430,-0.5968,0.5968,-0.2882
1165.631,0.0000,-0.1279,-0.7853,-0.6341,0.6341,-0.3055
1176.438,0.0000,-0.1368,-0.8364,-0.6790,0.6790,-0.3262
1187.345,0.0000,-0.1473,-0.8970,-0.7321,0.7321,-0.3506
1198.354,0.0000,-0.1594,-0.9675,-0.7938,0.7938,-0.3788
1209.464,0.0000,-0.1732,-1.0488,-0.8648,0.8648,-0.4109
1220.678,0.0000,-0.1889,-1.1415,-0.9454,0.9454,-0.4470
1231.996,0.0000,-0.2064,-1.2463,-1.0362,1.0362,-0.4873
1243.418,0.0000,-0.2258,-1.3641,-1.1379,1.1379,-0.5318
1254.946,0.0000,-0.2472,-1.4956,-1.2511,1.2511,-0.5806
1266.582,0.0000,-0.2706,-1.6419,-1.3762,1.3762,-0.6338
1278.325,0.0000,-0.2962,-1.8037,-1.5140,1.5140,-0.6914
1290.177,0.0000,-0.3239,-1.9822,-1.6650,1.6650,-0.7532
1302.139,0.0000,-0.3537,-2.1781,-1.8299,1.8299,-0.8193
1314.212,0.0000,-0.3858,-2.3927,-2.0091,2.0091,-0.8894
1326.396,0.0000,-0.4200,-2.6270,-2.2033,2.2033,-0.9634
1338.694,0.0000,-0.4564,-2.8819,-2.4129,2.4129,-1.0410
1351.106,0.0000,-0.4950,-3.1586,-2.6382,2.6382,-1.1218
1363.632,0.0000,-0.5356,-3.4581,-2.8796,2.8796,-1.2054
1376.275,0.0000,-0.5781,-3.7814,-3.1372,3.1372,-1.2913
1389.036,0.0000,-0.6226,-4.1295,-3.4110,3.4110,-1.3789
1401.914,0.0000,-0.6687,-4.5032,-3.7008,3.7008,-1.4676
1414.912,0.0000,-0.7164,-4.9032,-4.0060,4.0060,-1.5566
1428.030,0.0000,-0.7654,-5.3301,-4.3260,4.3260,-1.6453
1441.270,0.0000,-0.8156,-5.7843,-4.6598,4.6598,-1.7328
1454.633,0.0000,-0.8665,-6.2660,-5.0058,5.0058,-1.8184
1468.120,0.0000,-0.9179,-6.7749,-5.3623,5.3623,-1.9013
