crossover_Hz,freq_Hz,theta_deg,spl_norm_dB
1100,928.21,-70.0,-6.4324
1100,928.21,-65.0,-5.9445
1100,928.21,-60.0,-5.3777
1100,928.21,-55.0,-4.7546
1100,928.21,-50.0,-4.1005
1100,928.21,-45.0,-3.4406
1100,928.21,-40.0,-2.7983
1100,928.21,-35.0,-2.1934
1100,928.21,-30.0,-1.6422
1100,928.21,-25.0,-1.1576
1100,928.21,-20.0,-0.7495
1100,928.21,-15.0,-0.4252
1100,928.21,-10.0,-0.1901
1100,928.21,-5.0,-0.0477
1100,928.21,0.0,0.0000
1100,928.21,5.0,-0.0477
1100,928.21,10.0,-0.1901
1100,928.21,15.0,-0.4252
1100,928.21,20.0,-0.7495
1100,928.21,25.0,-1.1576
1100,928.21,30.0,-1.6422
1100,928.21,35.0,-2.1934
1100,928.21,40.0,-2.7983
1100,928.21,45.0,-3.4406
1100,928.21,50.0,-4.1005
1100,928.21,55.0,-4.7546
1100,928.21,60.0,-5.3777
1100,928.21,65.0,-5.9445
1100,928.21,70.0,-6.4324
1100,928.21,75.0,-6.8240
1100,928.21,80.0,-7.1082
1100,928.21,85.0,-7.2799
1100,928.21,90.0,-7.3371
1100,949.58,-90.0,-8.3252
1100,949.58,-85.0,-8.2562
1100,949.58,-80.0,-8.0496
1100,949.58,-75.0,-7.7083
1100,949.58,-70.0,-7.2405
1100,949.58,-65.0,-6.6622
1100,949.58,-60.0,-5.9971
1100,949.58,-55.0,-5.2746
1100,949.58,-50.0,-4.5254
1100,949.58,-45.0,-3.7787
1100,949.58,-40.0,-3.0597
1100,949.58,-35.0,-2.3890
1100,949.58,-30.0,-1.7827
1100,949.58,-25.0,-1.2532
1100,949.58,-20.0,-0.8096
1100,949.58,-15.0,-0.4586
1100,949.58,-10.0,-0.2048
1100,949.58,-5.0,-0.0513
1100,949.58,0.0,0.0000
1100,949.58,5.0,-0.0513
1100,949.58,10.0,-0.2048
1100,949.58,15.0,-0.4586
1100,949.58,20.0,-0.8096
1100,949.58,25.0,-1.2532
1100,949.58,30.0,-1.7827
1100,949.58,35.0,-2.3890
1100,949.58,40.0,-3.0597
