freq_Hz,mk2_on_axis,mk2_LW,mk2_ER,mk2_SP,mk2_DI,mk2_PIR,mk3_on_axis,mk3_LW,mk3_ER,mk3_SP,mk3_DI,mk3_PIR
361.030,0.0000,-0.0223,-0.1406,-0.1122,0.1122,-0.0558,0.0000,-0.0222,-0.1401,-0.1118,0.1118,-0.0555
364.377,0.0000,-0.0227,-0.1430,-0.1141,0.1141,-0.0567,0.0000,-0.0226,-0.1423,-0.1136,0.1136,-0.0564
367.755,0.0000,-0.0230,-0.1453,-0.1160,0.1160,-0.0576,0.0000,-0.0229,-0.1447,-0.1154,0.1154,-0.0573
371.165,0.0000,-0.0234,-0.1478,-0.1179,0.1179,-0.0585,0.0000,-0.0233,-0.1471,-0.1173,0.1173,-0.0583
374.606,0.0000,-0.0238,-0.1502,-0.1198,0.1198,-0.0595,0.0000,-0.0237,-0.1495,-0.1193,0.1193,-0.0592
378.079,0.0000,-0.0242,-0.1527,-0.1218,0.1218,-0.0605,0.0000,-0.0241,-0.1520,-0.1212,0.1212,-0.0602
381.585,0.0000,-0.0246,-0.1553,-0.1239,0.1239,-0.0615,0.0000,-0.0245,-0.1545,-0.1232,0.1232,-0.0612
385.123,0.0000,-0.0250,-0.1579,-0.1260,0.1260,-0.0625,0.0000,-0.0249,-0.1570,-0.1253,0.1253,-0.0622
388.693,0.0000,-0.0254,-0.1606,-0.1281,0.1281,-0.0636,0.0000,-0.0253,-0.1597,-0.1274,0.1274,-0.0632
392.297,0.0000,-0.0259,-0.1633,-0.1302,0.1302,-0.0646,0.0000,-0.0257,-0.1623,-0.1295,0.1295,-0.0643
395.934,0.0000,-0.0263,-0.1660,-0.1324,0.1324,-0.0657,0.0000,-0.0261,-0.1650,-0.1316,0.1316,-0.0653
399.605,0.0000,-0.0268,-0.1689,-0.1347,0.1347,-0.0668,0.0000,-0.0266,-0.1678,-0.1338,0.1338,-0.0664
403.310,0.0000,-0.0272,-0.1717,-0.1369,0.1369,-0.0679,0.0000,-0.0270,-0.1706,-0.1360,0.1360,-0.0675
407.050,0.0000,-0.0277,-0.1746,-0.1393,0.1393,-0.0691,0.0000,-0.0275,-0.1734,-0.1383,0.1383,-0.0686
