freq_hz,woofer_raw_db,woofer_sealed_db,woofer_pair_baffle_db,woofer_filtered_db,mid_raw_db,mid_baffle_db,mid_filtered_db,tweeter_raw_db,tweeter_wg_db,tweeter_filtered_db,tweeter_final_db,system_sum_db,coherent_sum_db
2722.21,90.6778,90.6778,93.9020,-6.8045,88.7438,88.9680,61.5492,95.3635,95.4427,95.2891,86.5366,86.5504,87.0127
2802.03,90.9303,90.9303,94.1424,-7.5682,88.7900,89.0021,60.6196,95.5755,95.6504,95.5251,86.7726,86.7832,87.1903
2884.20,91.8763,91.8763,95.0770,-7.6379,88.7900,88.9907,59.6402,95.7697,95.8405,95.7400,86.9875,86.9955,87.3526
2968.78,92.4799,92.4799,95.6697,-8.0493,88.7279,88.9177,58.5954,95.9639,96.0308,95.9518,87.1993,87.2053,87.5162
3055.84,92.1911,92.1911,95.3706,-9.3526,88.5038,88.6833,57.3858,96.1580,96.2213,96.1609,87.4084,87.4128,87.6783
3145.45,91.6922,91.6921,94.8619,-10.8655,88.2985,88.4682,56.1924,96.3335,96.3932,96.3490,87.5965,87.5997,87.8272
3237.69,90.6216,90.6216,93.7821,-12.9494,88.1441,88.3046,55.0477,96.4580,96.5144,96.4840,87.7316,87.7339,87.9310
3332.63,89.7016,89.7016,92.8533,-14.8824,88.0910,88.2427,54.0023,96.4799,96.5333,96.5148,87.7623,87.7642,87.9388
3430.36,89.2087,89.2087,92.3521,-16.3878,88.3250,88.4684,53.2422,96.2111,96.2615,96.2531,87.5007,87.5023,87.6673
3530.95,88.7722,88.7722,91.9078,-17.8363,88.5364,88.6720,52.4581,95.9234,95.9710,95.9713,87.2188,87.2202,87.3762
3634.50,88.5034,88.5034,91.6315,-19.1167,88.6808,88.8090,51.6055,95.5798,95.6248,95.6323,86.8798,86.8811,87.0283
3741.08,88.1180,88.1180,91.2392,-20.5133,88.7657,88.8869,50.6923,95.2715,95.3140,95.3275,86.5750,86.5762,86.7135
3850.78,87.3711,87.3711,90.4856,-22.2710,88.6662,88.7806,49.5936,95.0723,95.1124,95.1310,86.3785,86.3795,86.5034
3963.70,86.8246,86.8246,89.9328,-23.8280,88.6134,88.7216,48.5408,94.9118,94.9497,94.9724,86.2199,86.2207,86.3327
4079.94,86.9292,86.9292,90.0314,-24.7336,88.7130,88.8152,47.6396,94.8769,94.9128,94.9388,86.1863,86.1869,86.2884
4199.58,86.9174,86.9174,90.0140,-25.7552,88.7810,88.8776,46.7060,94.8331,94.8669,94.8956,86.1431,86.1436,86.2353
4322.73,86.5091,86.5091,89.6003,-27.1730,88.7411,88.8324,45.6640,94.7584,94.7903,94.8211,86.0686,86.0690,86.1511
4449.49,86.0747,86.0747,89.1609,-28.6166,88.7437,88.8299,44.6640,94.7468,94.7770,94.8092,86.0568,86.0571,86.1305
4579.97,85.5469,85.5469,88.6284,-30.1534,88.8981,88.9795,43.8152,94.9609,94.9894,95.0228,86.2703,86.2705,86.3355
4714.28,84.7367,84.7367,87.8137,-31.9722,89.0880,89.1649,43.0017,95.1018,95.1287,95.1628,86.4103,86.4105,86.4688
4852.52,82.8646,82.8646,85.9373,-34.8528,89.4116,89.4843,42.3216,94.9673,94.9927,95.0273,86.2748,86.2750,86.3297
